"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-01","0.0","-7.1","-19.9"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-02","0.0","-3.8","-14.9"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-03","0.0","-3.8","-16.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-04","0.0","-1.6","-13.2"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-05","0.0","5.0","-12.7"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-06","2.0","3.9","-1.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-07","5.3","4.4","-1.0"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-08","0.0","3.3","-3.8"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-09","2.3","9.4","0.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-10","2.5","2.8","-1.0"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-11","0.0","-1.0","-5.5"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-12","0.0","-3.8","-11.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-13","0.0","-4.3","-13.8"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-14","0.0","-0.5","-15.5"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-15","0.0","3.9","-4.3"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-16","0.5","5.6","-1.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-17","4.1","8.9","0.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-18","0.3","3.9","-1.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-19","0.0","10.0","0.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-20","10.7","10.6","0.0"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-21","1.5","1.1","-8.2"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-22","0.0","-3.2","-13.2"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-23","0.0","3.3","-6.0"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-24","0.0","5.6","-7.1"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-25","0.0","5.0","-6.0"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-26","0.0","6.7","-5.5"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-27","0.0","8.3","-3.2"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-28","0.0","7.8","-4.3"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-29","0.0","7.2","-4.3"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-30","0.0","8.3","-7.7"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-01-31","0.0","8.9","-6.0"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-01","0.0","10.0","-5.5"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-02","9.1","10.0","0.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-03","7.1","3.9","-1.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-04","7.1","7.2","-2.2"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-05","2.0","-1.7","-9.3"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-06","0.5","-3.2","-11.0"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-07","0.0","-3.2","-15.5"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-08","0.0","-1.0","-15.5"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-09","1.0","2.8","-9.3"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-10","1.3","0.6","-14.9"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-11","0.0","0.6","-13.8"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-12","0.0","2.2","-14.3"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-13","24.1","3.3","0.0"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-14","3.0","8.9","1.1"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-15","0.5","3.3","-7.1"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-16","0.3","-0.5","-8.2"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-17","1.0","-2.1","-8.2"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-18","0.5","-1.6","-12.1"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-19","0.0","-4.3","-15.5"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-20","5.3","-1.0","-6.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-21","0.8","-1.6","-16.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-22","0.0","-5.5","-21.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-23","0.0","0.0","-18.2"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-24","0.0","5.6","-4.3"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-25","0.0","10.6","0.6"
"USW00024121","ELKO REGIONAL AIRPORT, NV US","40.82402","-115.78635","1540.5","2019-02-26","0.0","11.1","2.8"
