"Date","Price","Open","High","Low","Vol.","Change %"
"2024-01-05","4,204.00","4,260.00","4,274.00","4,194.00","19.63K","-1.31%"
"2024-01-04","4,260.00","4,233.00","4,267.00","4,232.00","15.72K","0.52%"
"2024-01-03","4,238.00","4,265.00","4,273.00","4,204.00","25.19K","-0.87%"
"2024-01-02","4,275.00","4,209.00","4,287.00","4,200.00","24.13K","1.88%"
"2023-12-29","4,196.00","4,256.00","4,256.00","4,193.00","18.60K","-1.41%"
"2023-12-28","4,256.00","4,288.00","4,302.00","4,235.00","16.11K","-0.56%"
"2023-12-27","4,280.00","4,296.00","4,315.00","4,277.00","12.50K","-0.07%"
"2023-12-26","4,283.00","4,320.00","4,343.00","4,276.00","9.12K","-0.65%"
"2023-12-22","4,311.00","4,277.00","4,325.00","4,275.00","12.72K","0.54%"
"2023-12-21","4,288.00","4,300.00","4,320.00","4,267.00","20.61K","-0.49%"
"2023-12-20","4,309.00","4,288.00","4,334.00","4,271.00","17.00K","0.47%"
"2023-12-19","4,289.00","4,285.00","4,307.00","4,254.00","16.19K","0.42%"
"2023-12-18","4,271.00","4,255.00","4,307.00","4,241.00","18.49K","0.64%"
"2023-12-15","4,244.00","4,273.00","4,282.00","4,231.00","19.05K","-0.54%"
"2023-12-14","4,267.00","4,270.00","4,317.00","4,237.00","25.22K","-2.91%"
"2023-12-13","4,395.00","4,245.00","4,265.00","4,214.00","15.86K","0.46%"
"2023-12-12","4,375.00","4,478.00","4,478.00","4,456.00","0.01K","0.55%"
"2023-12-11","4,351.00","4,419.00","4,419.00","4,388.00","0.01K","-0.68%"
"2023-12-08","4,381.00","4,200.00","4,291.00","4,148.00","31.44K","0.94%"
"2023-12-07","4,340.00","4,366.00","4,366.00","4,366.00","0.00K","2.33%"
"2023-12-06","4,241.00","4,206.00","4,230.00","4,206.00","0.04K","0.83%"
"2023-12-05","4,206.00","4,240.00","4,240.00","4,240.00","0.01K","-1.52%"
"2023-12-04","4,271.00","4,253.00","4,253.00","4,253.00","0.02K","-2.89%"
"2023-12-01","4,398.00","4,428.00","4,428.00","4,399.00","0.01K","-1.72%"
"2023-11-30","4,475.00","4,428.00","4,463.00","4,428.00","0.02K","0.83%"
"2023-11-29","4,438.00","4,375.00","4,419.00","4,375.00","0.01K","1.56%"
"2023-11-28","4,370.00","4,291.00","4,381.00","4,263.00","0.09K","2.58%"
"2023-11-27","4,260.00","4,220.00","4,267.00","4,220.00","0.32K","0.97%"
"2023-11-24","4,219.00","4,251.00","4,251.00","4,235.00","0.03K","1.10%"
"2023-11-22","4,173.00","4,253.00","4,260.00","4,160.00","0.71K","-1.28%"
"2023-11-21","4,227.00","4,050.00","4,267.00","4,046.00","9.76K","4.78%"
"2023-11-20","4,034.00","4,069.00","4,099.00","4,021.00","10.60K","-1.80%"
"2023-11-17","4,108.00","4,043.00","4,118.00","4,040.00","26.65K","1.61%"
"2023-11-16","4,043.00","4,026.00","4,075.00","4,019.00","27.52K","1.28%"
"2023-11-15","3,992.00","3,965.00","4,019.00","3,939.00","25.83K","0.20%"
"2023-11-14","3,984.00","4,082.00","4,127.00","3,953.00","47.78K","-1.97%"
"2023-11-13","4,064.00","4,015.00","4,073.00","4,011.00","27.17K","1.25%"
"2023-11-10","4,014.00","3,974.00","4,035.00","3,971.00","29.48K","1.06%"
"2023-11-09","3,972.00","3,960.00","3,998.00","3,948.00","32.35K","0.99%"
"2023-11-08","3,933.00","3,909.00","3,949.00","3,872.00","44.65K","0.72%"
"2023-11-07","3,905.00","3,950.00","3,979.00","3,890.00","42.13K","-0.91%"
"2023-11-06","3,941.00","3,930.00","3,964.00","3,896.00","51.62K","1.10%"
"2023-11-03","3,898.00","3,859.00","3,906.00","3,823.00","25.57K","0.85%"
"2023-11-02","3,865.00","3,810.00","3,867.00","3,809.00","19.05K","1.87%"
"2023-11-01","3,794.00","3,806.00","3,825.00","3,781.00","16.71K","-0.60%"
"2023-10-31","3,817.00","3,839.00","3,874.00","3,795.00","22.85K","-0.24%"
"2023-10-30","3,826.00","3,860.00","3,880.00","3,810.00","16.84K","-0.67%"
"2023-10-27","3,852.00","3,812.00","3,871.00","3,808.00","22.90K","1.10%"
"2023-10-26","3,810.00","3,739.00","3,837.00","3,732.00","22.21K","2.01%"
"2023-10-25","3,735.00","3,722.00","3,781.00","3,716.00","19.78K","0.16%"
"2023-10-24","3,729.00","3,774.00","3,778.00","3,701.00","23.28K","-0.80%"
"2023-10-23","3,759.00","3,726.00","3,786.00","3,715.00","20.74K","1.76%"
"2023-10-20","3,694.00","3,616.00","3,710.00","3,603.00","20.40K","1.26%"
"2023-10-19","3,648.00","3,660.00","3,700.00","3,630.00","21.54K","0.25%"
"2023-10-18","3,639.00","3,627.00","3,672.00","3,615.00","23.51K","0.11%"
"2023-10-17","3,635.00","3,584.00","3,642.00","3,570.00","20.61K","1.23%"
"2023-10-16","3,591.00","3,513.00","3,613.00","3,506.00","30.43K","2.63%"
"2023-10-13","3,499.00","3,488.00","3,514.00","3,455.00","17.56K","0.26%"
"2023-10-12","3,490.00","3,480.00","3,503.00","3,460.00","19.37K","1.69%"
"2023-10-11","3,432.00","3,485.00","3,490.00","3,426.00","14.22K","-1.21%"
"2023-10-10","3,474.00","3,444.00","3,479.00","3,432.00","15.12K","1.14%"
"2023-10-09","3,435.00","3,460.00","3,465.00","3,406.00","14.89K","-0.52%"
"2023-10-06","3,453.00","3,392.00","3,469.00","3,373.00","22.15K","1.56%"
"2023-10-05","3,400.00","3,438.00","3,445.00","3,375.00","22.99K","-0.90%"
"2023-10-04","3,431.00","3,414.00","3,453.00","3,410.00","15.88K","0.09%"
"2023-10-03","3,428.00","3,487.00","3,508.00","3,414.00","22.60K","-2.11%"
"2023-10-02","3,502.00","3,432.00","3,525.00","3,432.00","27.43K","2.46%"
"2023-09-29","3,418.00","3,457.00","3,484.00","3,402.00","26.00K","-1.19%"
